Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T95,67,1436.656393,166.138482,59.441729,30.53444,1.946711,0.654067,8.38818
T20 ,134,1472.64377,168.203584,61.904108,32.531626,1.90289,0.654089,10.069428
T12 ,190,1393.140628,163.541424,55.31879,32.106108,1.722999,0.65456,6.272454
T6 ,42,1346.834652,160.609152,58.77985,30.937894,1.899931,0.65612,7.501541
T41 ,103,1303.552461,158.001452,58.795093,33.773987,1.74084,0.65617,8.510708
T59,50,1650.825475,177.800858,65.105733,36.349064,1.791125,0.656211,6.632745
T28 ,109,1321.646407,158.991502,54.07638,30.782642,1.756717,0.657018,1.922455
T30 ,209,1370.133947,161.861023,55.830051,30.706076,1.818209,0.657186,0.240707
T43 ,35,1626.784215,176.306877,61.068479,38.575967,1.583071,0.65766,9.681308
T35 ,151,1773.287049,184.012117,63.180614,35.957535,1.75709,0.658106,3.892801
T65,163,1651.17282,177.504175,62.722876,37.741166,1.661922,0.658545,11.447262
T77,104,1425.170068,164.880848,57.715386,31.007277,1.86135,0.658774,8.716783
T71,64,1505.211218,169.442652,61.43477,36.437998,1.686008,0.658812,9.362294
T55,150,1631.48762,176.404926,60.773443,35.507013,1.71159,0.658828,10.595795
T14 ,151,1859.671133,188.314234,65.462996,37.723858,1.735321,0.658991,7.30665
T31 ,178,1378.932811,162.151894,56.39061,30.583432,1.843829,0.659036,2.63475
T57,21,1488.453256,168.23347,55.32911,36.219452,1.527608,0.660876,9.542497
T21 ,113,1457.582251,166.429882,57.866606,31.949948,1.811164,0.661272,4.036959
T55,78,1699.860147,179.488333,61.174831,37.497194,1.631451,0.663057,11.038434
T81,130,1908.314993,190.142488,66.11867,36.079549,1.83258,0.663287,2.495486
T80,48,1613.688174,174.848831,60.336819,33.609251,1.795244,0.663291,6.74386
T57,40,1324.472167,158.403938,58.232338,30.688897,1.897505,0.663316,10.735444
T44 ,165,1335.206249,159.008492,58.95253,30.928264,1.906105,0.663617,1.708811
T55,4,1284.44525,155.93392,60.688153,31.878902,1.903709,0.663811,14.265495
T71,182,1460.777403,166.167796,61.110183,32.709877,1.868249,0.664814,1.923467
T48,126,1515.526472,169.237109,63.060927,32.889771,1.917342,0.66494,5.057383
T58,95,1595.377569,173.606331,54.852895,37.455551,1.46448,0.665185,8.596081
T42 ,197,1494.604545,168.028212,58.860147,31.459766,1.870966,0.66523,3.299521
T67,129,1494.317254,168.002174,59.891693,31.345175,1.910715,0.665308,5.922489
T21 ,118,1616.790621,174.72816,62.745296,33.173278,1.891441,0.665484,0.885335
T57,38,1007.772085,137.829143,49.863058,32.733899,1.523285,0.666638,8.439006
T40 ,41,1461.303116,165.949601,61.180085,33.153433,1.845362,0.666803,8.781556
T79,150,1264.542553,154.354112,52.055278,30.778362,1.691295,0.666971,2.901341
T71,174,1575.449373,172.209644,63.474417,33.538299,1.892595,0.667574,7.403315
T96,177,1909.342119,189.538982,69.34283,36.31735,1.909358,0.667877,5.611248
T79,28,1372.088348,160.65439,58.736775,32.226084,1.822647,0.668047,6.352519
T44 ,75,1447.855283,165.005987,55.740742,32.799155,1.699457,0.668245,3.885315
T21 ,30,1706.29018,179.11917,61.259111,33.566144,1.825027,0.668311,11.166306
T51,53,1531.644877,169.650464,61.420648,32.752075,1.875321,0.668741,2.199506
T54,209,1681.8503,177.765508,62.488075,34.840343,1.793555,0.668809,11.98656
T65,154,1241.105015,152.702437,57.083269,32.722356,1.744473,0.668846,3.438105
T42 ,182,1502.983369,167.956592,61.55284,32.694569,1.882662,0.66953,7.642009
T9 ,198,1349.432207,159.131759,54.112575,32.768044,1.651383,0.669649,3.356441
T65,71,1419.124518,163.135177,60.192725,34.904777,1.724484,0.670093,10.584715
T97,132,1150.095653,146.852805,49.65606,36.514352,1.359905,0.670161,6.885838
