Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T41 ,12,16.080491,15.977493,5.774184,5.00796,1.153001,0.791575,0.426731
T41 ,41,16.375546,15.977493,5.774184,5.00796,1.153001,0.806099,0.099555
T20 ,172,17.097644,16.108439,6.015986,4.606089,1.306094,0.828017,0.36923
T92,103,16.717951,16.159096,5.612271,4.922288,1.140175,0.804561,0.293733
T96,120,16.075035,16.192894,5.877193,4.434188,1.325427,0.770394,0.84498
T90,163,15.412278,16.218391,5.910541,3.654765,1.617215,0.736311,1.266545
T41 ,53,15.932964,16.295686,5.875493,3.916996,1.5,0.753982,1.129903
T41 ,64,15.932964,16.295686,5.875493,3.916996,1.5,0.753982,1.129903
T95,112,17.536401,16.317966,6.207008,4.373856,1.419116,0.827596,0.912795
T98,135,17.605181,16.345777,5.78025,5.069615,1.140175,0.828017,0.221751
T36 ,245,18.532158,16.40549,5.869481,5.181493,1.132778,0.865282,0.106626
T94,14,15.942183,16.494845,6.011291,3.717063,1.617215,0.736311,1.288134
T94,15,15.942183,16.494845,6.011291,3.717063,1.617215,0.736311,1.288134
T9 ,147,18.333561,16.55975,6.298977,4.822758,1.306094,0.840135,0.357512
T14 ,91,18.119262,16.582712,6.193113,4.741704,1.306094,0.828017,0.735622
T95,57,18.466362,16.619918,6.207008,5.102832,1.216385,0.840105,0.545084
T90,41,17.210378,16.638259,5.910541,4.086152,1.446481,0.78124,0.117302
T10 ,155,18.660679,16.658883,6.232053,5.078502,1.227144,0.844978,0.209435
T42 ,78,19.169735,16.664136,6.067623,4.988243,1.216385,0.867482,0.220237
T30 ,81,19.254918,16.691472,6.154832,4.863133,1.26561,0.868485,0.264883
T31 ,2,16.826092,16.72107,6.015615,3.870677,1.554151,0.756249,1.53348
T31 ,208,17.287081,16.72107,6.015615,3.870677,1.554151,0.776968,0.577989
T41 ,26,18.293403,16.745679,6.145488,5.377302,1.142857,0.819783,0.20485
T41 ,31,17.998348,16.745679,6.193314,4.672693,1.325427,0.806561,0.018106
T44 ,50,19.048924,16.880038,5.969178,5.235315,1.140175,0.840105,0.368418
